price,stock_name
98.40,Motherson Sumi
139.85,Future Retail
573.45,Bharti Airtel
104.70,Tata Motors
10.07,Vodafone Idea
491.30,IndusInd Bank
207.10,ITC
"1,077.75",HDFC Bank
184.45,SBI
52.60,BTL
"2,183.30",TCS
577.40,HDFC Life
109.55,Phillips Carbon
"2,169.50",HUL
362.90,Adani Ports
"2,722.65",Hero Motocorp
202.05,Cholamandalam
50.40,Tata Power
340.25,Bandhan Bank
270.50,Petronet LNG
366.30,Bharat Dynamics
183.90,M&M Financial
"6,204.95",Bajaj Finserv
364.40,ICICI Bank
"1,880.25",HDFC
93.55,Bharat Elec
38.05,BHEL
"5,946.50",Maruti Suzuki
528.05,M&M
175.10,RBL Bank
244.90,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
"2,937.00",Bajaj Auto
332.85,Tata Steel
363.85,Cadila Health
40.50,Reliance Infra
"2,190.00",Divis Labs
511.30,IOL Chemicals
"1,702.05",Asian Paints
389.20,Just Dial
949.15,Larsen
"1,412.00",Piramal Enter
"1,127.70",Muthoot Finance
82.65,ONGC
3.30,Jaiprakash Asso
761.35,Infosys
"1,357.55",Kotak Mahindra
128.45,Sterlite Techno
145.30,Hindalco
350.20,Bharat Forge
104.35,Vedanta
"1,028.90",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,774.00",Reliance
"2,954.00",Bajaj Finance
219.45,Indiabulls Hsg
427.85,Axis Bank
4.75,Reliance Power
98.40,Motherson Sumi
139.85,Future Retail
573.45,Bharti Airtel
104.70,Tata Motors
10.07,Vodafone Idea
491.30,IndusInd Bank
207.10,ITC
"1,077.75",HDFC Bank
184.45,SBI
52.60,BTL
"2,183.30",TCS
577.40,HDFC Life
109.55,Phillips Carbon
"2,169.50",HUL
362.90,Adani Ports
"2,722.65",Hero Motocorp
202.05,Cholamandalam
50.40,Tata Power
340.25,Bandhan Bank
270.50,Petronet LNG
366.30,Bharat Dynamics
183.90,M&M Financial
"6,204.95",Bajaj Finserv
364.40,ICICI Bank
"1,880.25",HDFC
93.55,Bharat Elec
38.05,BHEL
"5,946.50",Maruti Suzuki
528.05,M&M
175.10,RBL Bank
244.90,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
"2,937.00",Bajaj Auto
332.85,Tata Steel
363.85,Cadila Health
40.50,Reliance Infra
"2,190.00",Divis Labs
511.30,IOL Chemicals
"1,702.05",Asian Paints
389.20,Just Dial
949.15,Larsen
